slug,rank,senate,party,judet_2012,judet_2016
tudose-mihai,1,0,PSD,BR,BR
solomon-adrian,1,0,PSD,VS,VS
birchall-ana,2,0,PSD,VS,VS
manda-iulian-claudiu,1,1,PSD,DJ,DJ
mocioalca-ion,1,0,PSD,CS,CS
diaconu-mihai-bogdan,1,0,PRU,B,B
hulea-ioan,1,0,PMP,BH,BH
covaci-dorel,3,1,PSD,TM,TM
alexe-florin-alexandru,5,0,PNL,B,B
boboc-valentin-gabriel,3,0,PSD,TR,TR
palar-ionel,1,0,PNL,BC,BC
surugiu-iulian-radu,5,0,PNL,SV,SV
scarlat-george,3,0,PNL,GL,GL
fraticiu-gheorghe,1,0,PRU,SB,SB
florea-damian,2,0,ALDE,B,B
turcan-raluca,1,0,PNL,SB,SB
petric-octavian,2,0,PSD,SM,SM
ciolacu-ion-marcel,1,0,PSD,BZ,BZ
nosa-iuliu,1,0,PSD,SJ,SJ
chitoiu-daniel,1,0,ALDE,GR,GR
marcoci-vlad,5,0,PNL,MT,MT
diaconu-adrian-nicolae,2,1,PSD,TM,TM
nistor-laurentiu,1,0,PSD,HD,HD
niculescu-dumitru,1,0,PMP,OT,OT
blanariu-valentin,5,0,PSD,CS,CS
stanescu-alexandru,3,0,PSD,OT,OT
dobre-victor-paul,1,0,PNL,GL,GL
samartinean-cornel-mircea,1,0,PMP,TM,TM
sova-lucian,4,0,PSD,BC,BC
puscas-iacob,1,0,PER,SB,SB
radulescu-romeo,1,0,IND,VL,VL
podasca-gabriela-maria,14,0,PSD,B,B
banicioiu-nicolae,2,0,PSD,B,IS
buicu-corneliu-florin,1,0,PSD,MS,MS
alexe-costel,3,0,PNL,IS,IS
bordeianu-dan,7,0,PSD,VS,VS
stroe-ionut-marian,2,0,PNL,DJ,DJ
radulescu-catalin-marian,5,0,PSD,AG,AG
mihai-aurelian,1,0,ALDE,ZZ,ZZ
mazilu-constantin,1,0,PMP,VL,VL
bogdanici-camelia-margareta,2,0,PMP,IS,IS
molnar-zsolt,1,0,UDMR,TM,TM
axente-ioan,1,1,PRU,SB,SB
resmerita-cornel-cristian,1,1,PSD,HD,HD
andea-petru,6,0,PSD,TM,TM
andronache-gabriel,2,0,PNL,BV,BV
vladu-iulian,2,0,PNL,DB,DB
dusa-mircea,1,0,PSD,HR,HR
kelemen-hunor,1,0,UDMR,HR,HR
cupa-ion,1,0,ALDE,GJ,GJ
murgu-neagu,1,0,PMP,VN,VN
buican-cristian,1,0,PNL,VL,VL
calota-florica-ica,1,0,ALDE,TR,TR
ponta-victor-viorel,1,0,PSD,GJ,GJ
itu-cornel,2,0,PSD,CJ,CJ
schelean-valeria-diana,1,0,PNL,CS,CS
petrescu-petre,1,0,PRU,DJ,DJ
iordache-florin,1,0,PSD,OT,OT
movila-petru,1,0,PMP,IS,IS
calin-ion,2,0,PSD,DJ,DJ
grama-horia,1,0,PSD,CV,CV
cataniciu-steluta-gustica,1,0,ALDE,CJ,CJ
dobre-mircea-titus,2,0,PSD,CT,CT
silaghi-ovidiu-ioan,1,0,ALDE,SM,SM
melinte-ion,1,1,PMP,BC,BC
caprar-dorel-gheorghe,1,0,PSD,AR,AR
simon-gheorghe,1,0,PSD,MM,MM
niculae-aurel,1,1,IND,CL,CL
korodi-attila,1,0,UDMR,HR,HR
gheorghe-tinel,1,0,PNL,IL,IL
gudu-vasile,1,0,PNL,TL,TL
gheorghe-florin,6,0,PSD,CT,CT
zamfir-daniel-catalin,1,1,PNL,BV,BV
geanta-florian-daniel,15,0,PSD,B,B
cseke-attila-zoltan,1,1,UDMR,BH,BH
roman-cristian-constantin,2,0,PNL,BT,BT
bogdan-gheorghe-danut,1,0,PSD,BH,BH
tusa-adriana-diana,6,0,PSD,B,B
chirtes-ioan-cristian,1,1,PNL,MS,MS
tilvar-angel,1,0,PSD,VN,VN
nicolicea-eugen,1,0,PSD,BZ,CL
rosca-lucretia,3,0,PSD,GL,GL
guran-virgil,2,1,PNL,PH,PH
chereches-florica,2,0,PNL,BH,BH
draghici-mircea-gheorghe,2,0,PSD,AG,AG
dragnea-nicolae-liviu,1,0,PSD,TR,TR
soptica-costel,1,1,PNL,BT,BT
negrut-cornelia,1,0,ALDE,MM,MM
marin-gheorghe,2,1,PSD,AG,AG
dragusanu-vasile-catalin,3,0,PNL,MT,MT
szabo-odon,1,0,UDMR,BH,BH
boghicevici-claudia,3,0,PNL,AR,AR
nistor-marioara,1,0,PMP,BR,BR
vreme-valerian,1,0,PMP,BC,BC
petrea-dorin-silviu,1,0,PRU,BR,BR
iriza-scarlat,1,1,ALDE,GJ,GJ
tabugan-ion,1,0,PMP,CS,CS
intotero-natalia-elena,2,0,PSD,HD,HD
minca-liliana,1,0,ALDE,BT,BT
harau-eleonora-carmen,1,1,PNL,HD,HD
avram-constantin,1,0,ALDE,BC,BC
constantin-daniel,1,0,ALDE,AG,B
babus-radu,4,0,PSD,CT,CT
eparu-ion,1,0,PRU,PH,PH
varga-lucia-ana,2,0,PNL,BH,BH
dumbravanu-paul,4,0,PNL,PH,PH
munteanu-ioan,1,0,PSD,MT,MT
nicolaescu-gheorghe-eugen,2,0,PNL,B,B
gerea-andrei-dominic,1,0,ALDE,AG,AG
talos-gheorghe-mirel,1,0,ALDE,SJ,SJ
ionescu-aurelian,2,0,PNL,IL,IL
matei-calin-vasile-andrei,3,0,PSD,MM,MM
dumitrache-ileana-cristina,3,0,PSD,CT,CT
pop-georgian,3,0,PSD,B,B
weber-mihai,2,0,PSD,GJ,GJ
surdu-raluca,2,0,PNL,CL,CL
popa-octavian-marius,1,0,ALDE,TL,TL
stan-ioan,1,1,PSD,SV,SV
ghita-sebastian-aurelian,2,0,PRU,PH,PH
negrut-clement,1,0,PMP,AB,AB
gireada-dumitru-verginel,3,0,PNL,BT,BT
suciu-vasile-daniel,2,0,PSD,BN,BN
pistru-popa-eusebiu-manea,2,0,PNL,AR,AR
vulpescu-ioan,5,1,PSD,B,B
stirbu-gigel-sorinel,1,0,PNL,OT,OT
scheau-ion,2,1,PNL,AR,AR
bejinariu-eugen,1,0,PSD,SV,SV
nicolae-alexandri,5,1,PNL,PH,PH
seres-denes,1,0,UDMR,SJ,SJ
roman-ioan-sorin,3,0,PSD,BH,BH
marton-arpad-francisc-1,2,0,UDMR,CV,CV
gaina-mihaita,1,0,PSD,IL,IL
cazan-mircea-vasile,1,1,PNL,SB,SB
ionescu-george,1,0,PNL,PH,PH
stativa-irinel-ioan,3,0,PSD,VS,VS
marin-laura,6,0,PSD,GL,GL
ciofu-tamara-dorina,1,0,PSD,BT,BT
iancu-iulian,1,0,PSD,BC,BC
stefan-viorel,1,0,PSD,GL,GL
oros-nechita-adrian,2,0,PNL,CJ,CJ
zaharcu-neviser,1,0,IND,TL,TL
cupsa-ioan,3,0,PNL,BH,BH
dima-toader,4,1,PSD,VS,VS
dirzu-ioan,1,0,PSD,AB,AB
gheorghe-andrei-daniel,1,0,PNL,IF,IF
marica-petru-sorin,4,0,PSD,HD,HD
gavrilescu-gratiela-leocadia,1,0,ALDE,PH,PH
varga-vasile,2,0,PNL,BR,BR
bucura-oprescu-simona,3,0,PSD,AG,AG
ciuhodaru-tudor,3,0,PSD,VS,VS
dolha-mircea,1,1,PNL,MM,MM
palasca-viorel,1,0,ALDE,MH,MH
baisanu-stefan-alexandru,1,0,ALDE,SV,SV
chirita-dumitru,7,0,PSD,B,B
fejer-laszlo-odon,1,1,UDMR,CV,CV
smarandache-miron-alexandru,2,1,PSD,BC,BC
pocora-cristina-ancuta,1,1,PNL,IL,IL
pana-adriana-doina,1,0,PSD,BN,BN
ciobanu-liliana,1,0,PER,GR,GR
paleologu-theodor,1,0,IND,B,B
vasilica-radu-costin,1,0,PSD,AG,AG
vlase-petru-gabriel,1,0,PSD,BC,BC
calimente-mihaita,1,0,ALDE,AR,AR
erdei-doloczki-istvan,2,0,UDMR,SM,SM
plumb-rovana,1,0,PSD,DB,DB
balan-ioan,1,0,PNL,SV,SV
mocanu-adrian,1,0,PMP,BZ,BZ
ciocan-dan,2,0,PSD,OT,OT
moldovan-carmen-ileana,2,0,PSD,DB,B
bode-lucian-nicolae,1,0,PNL,SJ,SJ
anastase-roberta-alma,3,0,PNL,PH,PH
benga-ioan,2,1,PSD,CS,CS
manolache-marius,1,0,PRU,MH,AG
fenechiu-catalin-daniel,1,1,PNL,B,BC
dalca-stefan-petru,2,0,ALDE,AR,BT
teju-sorin,1,0,PRU,PH,BT
adam-luminita-pachel,1,0,PMP,OT,BV
sturzu-mihai-razvan,1,0,PRU,B,BV
marian-ion-cristinel,7,1,PMP,VL,B
raetchi-ovidiu-alexandru,3,0,PNL,ZZ,B
udrea-elena-gabriela,1,0,IND,MT,B
steriu-valeriu-andrei,1,0,PMP,CL,B
cernea-remus-florinel,1,0,IND,CT,B
tomac-eugen,2,0,PMP,ZZ,B
rotaru-razvan,6,0,PMP,GJ,B
sefer-cristian-george,1,0,PMP,MS,CL
burlacu-stefan,1,1,PMP,IF,CJ
khraibani-camelia,2,0,PRU,GJ,CT
tanase-razvan-ionut,1,0,PRU,PH,DB
preda-cezar-florin,1,0,PNL,BZ,DB
voicu-mihai-alexandru,1,0,PNL,DJ,ZZ
bucur-constantin-alin,1,0,ALDE,TR,IF
cozmanciuc-corneliu-mugurel,1,0,PNL,IS,MT
oajdea-daniel-vasile,1,1,PRU,IS,MT
udriste-gheorghe,1,1,PMP,B,PH
nicoara-romeo-florin,1,0,PNL,B,SM
gorghiu-alina-stefania,1,1,PNL,B,TM
rizea-cristian,1,0,PRU,BR,VS
secara-florin-mihail,4,0,PNL,VN,IF
